p1_character_id,p2_character_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,x_distance,y_distance,timer,up,down,left,right,A,B,X,Y,L,R,select,start,player_controlled,using_ml,using_enhanced_model
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,5,0,383,0,0,0,0,0,0,415,0,0,0,0,0,32,0,87,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
